epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,529.437,0.99867,2.31542,1.28767,0.95502,0.94428,0.97473,0.80808,0.67099,0.53134,1.08576,0.0033327,0.0033327,0.0033327
2,999.073,0.86959,1.23816,1.17936,0.98912,0.9851,0.98899,0.84226,0.59558,0.36146,1.02292,0.00644606,0.00644606,0.00644606
3,1518.11,0.87521,1.00272,1.17648,0.99123,0.99025,0.99064,0.8464,0.59175,0.31245,1.01866,0.00933941,0.00933941,0.00933941
4,1981.89,0.84557,0.86287,1.15713,0.99098,0.99278,0.99031,0.86893,0.55409,0.25831,0.99015,0.00901,0.00901,0.00901
5,2431,0.78174,0.72938,1.12118,0.99187,0.99401,0.99144,0.88305,0.52191,0.22988,0.9727,0.00868,0.00868,0.00868
6,2962.97,0.74545,0.66449,1.10162,0.99277,0.99401,0.99144,0.88748,0.51348,0.21986,0.96896,0.00835,0.00835,0.00835
7,3528.06,0.72153,0.62409,1.09016,0.99274,0.99438,0.99163,0.89294,0.50108,0.21148,0.95813,0.00802,0.00802,0.00802
8,4021.92,0.70508,0.59416,1.08038,0.99278,0.99433,0.99173,0.89475,0.4904,0.20616,0.95478,0.00769,0.00769,0.00769
9,4518.21,0.6896,0.56823,1.07241,0.99261,0.99433,0.9918,0.89745,0.48819,0.20188,0.95349,0.00736,0.00736,0.00736
10,4951.61,0.67826,0.54794,1.06683,0.99258,0.99433,0.99188,0.89892,0.48549,0.19962,0.95116,0.00703,0.00703,0.00703
11,5454.38,0.66785,0.53484,1.06106,0.99228,0.99433,0.99227,0.9014,0.48317,0.19767,0.94971,0.0067,0.0067,0.0067
12,5933.51,0.65724,0.51736,1.05606,0.99218,0.99433,0.9923,0.90229,0.48173,0.19573,0.94838,0.00637,0.00637,0.00637
13,6404.72,0.65128,0.50811,1.05369,0.99216,0.99433,0.99246,0.90363,0.48075,0.19417,0.94749,0.00604,0.00604,0.00604
14,6895.94,0.63985,0.49367,1.04717,0.99215,0.99433,0.99249,0.90437,0.48003,0.19234,0.94687,0.00571,0.00571,0.00571
15,7388.33,0.63357,0.48443,1.0446,0.99216,0.99433,0.99255,0.90497,0.47884,0.1919,0.94606,0.00538,0.00538,0.00538
16,7878.6,0.62645,0.47515,1.0404,0.99216,0.99433,0.99263,0.90595,0.47758,0.19038,0.94509,0.00505,0.00505,0.00505
17,8358.18,0.61582,0.46117,1.0352,0.99221,0.99433,0.99272,0.90757,0.47624,0.18918,0.94425,0.00472,0.00472,0.00472
